phase,H,n,m,seed,agent,true_type,first_turn,censored,rho_action,first_episode
type_horizon,1,3,4,2118,1,0,9.0,False,0.07433819726669055,9
type_horizon,1,3,4,2118,2,2,5.0,False,0.07433819726669055,5
type_horizon,1,3,4,2119,0,3,2.0,False,0.07433819726669055,2
type_horizon,1,3,4,2119,1,0,39.0,False,0.07433819726669055,39
type_horizon,1,3,4,2119,2,3,2.0,False,0.07433819726669055,2
type_horizon,1,3,4,2120,0,3,3.0,False,0.07433819726669055,3
type_horizon,1,3,4,2120,1,1,11.0,False,0.07433819726669055,11
type_horizon,1,3,4,2120,2,1,29.0,False,0.07433819726669055,29
type_horizon,1,3,4,2121,0,3,2.0,False,0.07433819726669055,2
type_horizon,1,3,4,2121,1,3,2.0,False,0.07433819726669055,2
type_horizon,1,3,4,2121,2,3,10.0,False,0.07433819726669055,10
type_horizon,1,3,4,2122,0,3,1.0,False,0.07433819726669055,1
type_horizon,1,3,4,2122,1,3,2.0,False,0.07433819726669055,2
type_horizon,1,3,4,2122,2,1,6.0,False,0.07433819726669055,6
type_horizon,1,3,4,2123,0,1,9.0,False,0.07433819726669055,9
type_horizon,1,3,4,2123,1,2,4.0,False,0.07433819726669055,4
type_horizon,1,3,4,2123,2,2,4.0,False,0.07433819726669055,4
type_horizon,1,3,4,2124,0,0,4.0,False,0.07433819726669055,4
type_horizon,1,3,4,2124,1,0,3.0,False,0.07433819726669055,3
type_horizon,1,3,4,2124,2,2,13.0,False,0.07433819726669055,13
type_horizon,1,3,4,2125,0,3,5.0,False,0.07433819726669055,5
type_horizon,1,3,4,2125,1,2,4.0,False,0.07433819726669055,4
type_horizon,1,3,4,2125,2,2,5.0,False,0.07433819726669055,5
type_horizon,1,3,4,2126,0,2,5.0,False,0.07433819726669055,5
type_horizon,1,3,4,2126,1,3,6.0,False,0.07433819726669055,6
type_horizon,1,3,4,2126,2,0,7.0,False,0.07433819726669055,7
